rev_id,worker_id,aggression,aggression_score
37675,1362,1.0,-1.0
37675,2408,0.0,1.0
37675,1493,0.0,0.0
37675,1439,0.0,0.0
37675,170,0.0,0.0
37675,176,0.0,0.0
37675,481,0.0,0.0
37675,487,0.0,0.0
37675,578,0.0,0.0
37675,1127,0.0,0.0
177310,255,0.0,0.0
177310,1289,0.0,1.0
177310,688,0.0,0.0
177310,612,0.0,0.0
177310,487,0.0,0.0
177310,446,0.0,0.0
177310,390,0.0,1.0
177310,367,0.0,0.0
177310,264,0.0,0.0
177310,204,0.0,0.0
833825,675,0.0,0.0
833825,1079,0.0,0.0
833825,1224,0.0,0.0
833825,1847,1.0,-2.0
833825,1995,1.0,-1.0
833825,2305,0.0,0.0
833825,35,0.0,0.0
833825,77,0.0,1.0
833825,487,1.0,-1.0
833825,727,0.0,0.0
1342010,1005,0.0,0.0
1342010,639,0.0,2.0
1342010,871,0.0,0.0
1342010,890,0.0,0.0
1342010,909,0.0,0.0
1342010,497,0.0,0.0
1342010,3313,0.0,1.0
1342010,467,0.0,0.0
1342010,1020,0.0,0.0
1342010,1090,0.0,2.0
1342010,1106,0.0,0.0
1342010,3050,0.0,1.0
1342010,1018,0.0,1.0
1342010,380,0.0,0.0
1342010,220,0.0,2.0
1342010,487,1.0,-1.0
1342010,67,0.0,1.0
1342010,184,0.0,0.0
1342010,1391,0.0,0.0
1710587,733,1.0,-2.0
1710587,1489,1.0,-1.0
1710587,1345,0.0,0.0
1710587,2408,1.0,-1.0
1710587,1950,0.0,0.0
1710587,240,0.0,0.0
1710587,257,1.0,-1.0
1710587,213,0.0,0.0
1710587,628,0.0,0.0
1710587,1516,0.0,0.0
1710587,39,0.0,0.0
1710587,609,0.0,0.0
1710587,580,0.0,0.0
1710587,1333,0.0,0.0
1710587,540,0.0,0.0
1710587,487,0.0,0.0
1710587,437,0.0,0.0
1710587,354,0.0,0.0
1710587,260,0.0,0.0
1710587,1298,1.0,-1.0
2019031,1950,0.0,0.0
2019031,2134,0.0,0.0
2019031,2132,0.0,0.0
2019031,1516,0.0,0.0
2019031,4,0.0,0.0
2019031,1350,0.0,2.0
2019031,1343,0.0,0.0
2019031,1133,0.0,0.0
2019031,73,0.0,0.0
2019031,939,0.0,0.0
2019031,155,1.0,-1.0
2019031,278,1.0,-1.0
